repo,type,mech,alert,break,consoleLog,continue,count,empty,has_error_arguments,lines,noUsageOfErrorArg,reassigningError,rereturn,rethrow,returnErrorObject,returnLiteral,returnNull,returnUndefined,stmts,throwErrorObject,throwLiteral,throwNull,throwUndefined,others
MQTT.js.csv,server,callback,0.0,0.0,1.0,0.0,38,0.0,38.0,159,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,0.0,38
MQTT.js.csv,server,event,0.0,0.0,2.0,0.0,27,0.0,9.0,16,17.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,10
MQTT.js.csv,server,try-catch,0.0,0.0,0.0,0.0,17,0.0,17.0,29,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,17
MagicMirror.csv,server,callback,0.0,1.0,5.0,1.0,32,0.0,32.0,285,11.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,70,0.0,0.0,0.0,0.0,32
MagicMirror.csv,server,event,0.0,0.0,1.0,0.0,5,0.0,5.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,5
MagicMirror.csv,server,promise,0.0,0.0,0.0,0.0,1,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
MagicMirror.csv,server,try-catch,0.0,0.0,3.0,1.0,13,0.0,13.0,62,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,12
Modernizr.csv,client,callback,0.0,0.0,0.0,0.0,15,0.0,15.0,102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43,0.0,0.0,0.0,0.0,15
Modernizr.csv,client,try-catch,0.0,0.0,0.0,0.0,258,76.0,258.0,220,112.0,24.0,0.0,5.0,0.0,63.0,0.0,0.0,194,6.0,0.0,0.0,0.0,91
NodeBB.csv,server,callback,0.0,14.0,15.0,2.0,3122,0.0,3122.0,20679,11.0,22.0,0.0,26.0,0.0,21.0,3.0,0.0,8713,0.0,2.0,0.0,0.0,3122
NodeBB.csv,server,event,0.0,1.0,0.0,0.0,11,0.0,11.0,32,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,11
NodeBB.csv,server,promise,0.0,0.0,0.0,0.0,4,0.0,3.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,4
NodeBB.csv,server,try-catch,0.0,0.0,3.0,0.0,205,27.0,205.0,282,64.0,2.0,0.0,3.0,0.0,7.0,5.0,0.0,233,0.0,2.0,0.0,0.0,163
OS.js.csv,client,callback,2.0,0.0,4.0,0.0,378,0.0,378.0,3849,46.0,6.0,0.0,0.0,0.0,14.0,2.0,0.0,774,1.0,0.0,0.0,0.0,378
OS.js.csv,client,event,0.0,1.0,2.0,0.0,7,0.0,6.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,5
OS.js.csv,client,promise,5.0,0.0,0.0,0.0,104,0.0,90.0,194,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,0.0,0.0,0.0,0.0,102
OS.js.csv,client,try-catch,0.0,0.0,0.0,0.0,264,73.0,264.0,256,11.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,240,0.0,0.0,0.0,0.0,189
PapaParse.csv,server,callback,0.0,2.0,3.0,0.0,46,0.0,46.0,326,2.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,104,0.0,0.0,0.0,0.0,45
PapaParse.csv,server,try-catch,0.0,0.0,0.0,0.0,15,0.0,15.0,24,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,15
PhotoSwipe.csv,client,callback,0.0,0.0,0.0,0.0,38,0.0,38.0,918,0.0,12.0,0.0,0.0,0.0,8.0,0.0,0.0,190,0.0,0.0,0.0,0.0,38
Rocket.Chat.csv,client,async-await,0.0,0.0,0.0,0.0,1,0.0,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,1
Rocket.Chat.csv,client,callback,2.0,10.0,50.0,3.0,725,0.0,725.0,7285,118.0,12.0,0.0,10.0,0.0,15.0,1.0,0.0,1920,5.0,1.0,0.0,0.0,720
Rocket.Chat.csv,client,event,0.0,0.0,4.0,0.0,13,0.0,12.0,25,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,10
Rocket.Chat.csv,client,promise,0.0,0.0,1.0,0.0,16,0.0,14.0,34,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,16
Rocket.Chat.csv,client,try-catch,0.0,1.0,28.0,1.0,286,12.0,286.0,653,90.0,2.0,0.0,25.0,0.0,8.0,2.0,1.0,373,19.0,0.0,0.0,0.0,234
RxJS.csv,server,callback,0.0,0.0,3.0,0.0,181,0.0,181.0,109,170.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0.0,0.0,0.0,12
RxJS.csv,server,event,0.0,0.0,1.0,0.0,2,0.0,1.0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,2
RxJS.csv,server,promise,0.0,0.0,3.0,0.0,7,0.0,1.0,16,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,7
RxJS.csv,server,try-catch,0.0,0.0,9.0,0.0,35,1.0,35.0,78,2.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,44,7.0,0.0,0.0,0.0,18
Semantic-UI.csv,client,callback,0.0,0.0,2.0,0.0,47,0.0,47.0,409,15.0,6.0,0.0,3.0,0.0,6.0,0.0,0.0,123,2.0,0.0,0.0,0.0,39
