Unnamed: 0,mech,lines,stmts,has_error_arguments,empty,noUsageOfErrorArg,consoleLog,reassigningError,alert,throwLiteral,throwUndefined,throwNull,throwErrorObject,rethrow,returnLiteral,returnUndefined,returnNull,returnErrorObject,rereturn,continue,break,file,repo,count,type
194,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/src/html5printshiv.js,Modernizr.csv,1,client
197,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/src/html5printshiv.js,Modernizr.csv,1,client
200,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/src/html5printshiv.js,Modernizr.csv,1,client
202,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/src/html5printshiv.js,Modernizr.csv,1,client
206,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/src/testProps.js,Modernizr.csv,1,client
207,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/src/testProps.js,Modernizr.csv,1,client
215,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/test/browser/src/hasEvent.js,Modernizr.csv,1,client
216,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/test/browser/src/hasEvent.js,Modernizr.csv,1,client
217,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/test/browser/src/hasEvent.js,Modernizr.csv,1,client
218,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/test/browser/src/hasEvent.js,Modernizr.csv,1,client
