,repo,file,type,mech,strategy,count,Unnamed: 0,eventsNumberOfEventUncaughtException,numberOfWindowOnError,numberOfWindowAddEventListener
185,svg.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/svg.js/spec/lib/jasmine-2.6.0/jasmine.js,client,callback,throwErrorObject,1,174,2,0,0
186,three.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/three.js/examples/js/loaders/OBJLoader2.js,client,callback,rethrow,1,177,2,0,0
187,ui-router.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/ui-router/test/angular/1.2/angular-mocks.js,client,callback,rethrow,1,180,0,0,0
188,ui-router.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/ui-router/test/angular/1.3/angular-mocks.js,client,callback,rethrow,1,180,0,0,0
189,ui-router.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/ui-router/test/angular/1.4/angular-mocks.js,client,callback,rethrow,1,180,0,0,0
190,ui-router.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/ui-router/test/angular/1.4/angular-mocks.js,client,callback,throwErrorObject,1,180,0,0,0
191,ui-router.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/ui-router/test/angular/1.5/angular-mocks.js,client,callback,rethrow,1,180,0,0,0
192,ui-router.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/ui-router/test/angular/1.5/angular-mocks.js,client,callback,throwErrorObject,1,180,0,0,0
193,ui-router.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/ui-router/test/angular/1.6/angular-mocks.js,client,callback,rethrow,1,180,0,0,0
194,ui-router.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/ui-router/test/angular/1.6/angular-mocks.js,client,callback,throwErrorObject,1,180,0,0,0
195,web3.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/web3.js/dist/web3-light.js,client,callback,throwErrorObject,3,184,0,0,0
196,web3.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/web3.js/dist/web3.js,client,callback,throwErrorObject,3,184,0,0,0
197,web3.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/web3.js/lib/web3/contract.js,client,callback,throwErrorObject,2,184,0,0,0
198,webogram.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/webogram/app/vendor/angular/angular-mocks.js,client,callback,rethrow,1,185,0,0,0
199,webogram.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/webogram/app/vendor/angular/angular-mocks.js,client,callback,throwErrorObject,1,185,0,0,0
200,webogram.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/webogram/app/vendor/angular/angular-scenario.js,client,callback,rethrow,1,185,0,0,0
201,webogram.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/webogram/app/vendor/ogv.js/ogv.js,client,callback,throwErrorObject,4,185,0,0,0
