repo,type,mech,count,files,lines
materialize,client,try-catch,13,53,19932
materialize,server,try-catch,13,53,19932
metalsmith,server,try-catch,3,13,1074
meteor,client,try-catch,540,1132,194381
meteor,server,try-catch,540,1132,194381
mithril.js,client,try-catch,294,107,27226
mocha,server,try-catch,45,218,13950
mojs,client,try-catch,40,64,38399
moment-timezone,server,try-catch,6,627,30576
moment,server,try-catch,19,566,161791
mongo-express,server,try-catch,24,39,2856
mongoose,server,try-catch,262,334,81426
mousetrap,client,try-catch,71,14,8793
mysql,server,try-catch,7,247,13059
natural,server,try-catch,3,215,18315
nedb,server,try-catch,321,39,27886
nightwatch,server,try-catch,87,333,25031
node-http-proxy,server,try-catch,6,40,3102
node-inspector,server,try-catch,85,410,115539
node-mongodb-native,server,try-catch,422,175,88381
node-postgres,server,try-catch,6,106,6904
node-restify,server,try-catch,66,116,13827
node-serialport,server,try-catch,118,61,5169
node,server,try-catch,2030,9201,932438
nodemailer,server,try-catch,43,66,13807
nodemon,server,try-catch,14,72,4408
notifyjs,client,try-catch,2,2,608
nuxt.js,server,try-catch,4,286,8671
openlayers,server,try-catch,175,755,86763
openui5,client,try-catch,2517,6483,1137763
passport,server,try-catch,6,34,6476
pdf.js,client,try-catch,193,263,76529
perfect-scrollbar,client,try-catch,2,18,4547
phaser,client,try-catch,151,1101,184376
plyr,client,try-catch,239,38,22601
pm2,server,try-catch,213,289,18740
postcss,server,try-catch,5,23,3864
pouchdb,server,try-catch,500,130,90659
prettier,client,try-catch,53,2690,20602
progressbar.js,client,try-catch,1,17,2572
protobuf.js,server,try-catch,114,179,34207
pug,server,try-catch,47,68,7093
ratchet,client,try-catch,7,16,3027
raven-js,client,try-catch,270,113,23790
react-native,server,try-catch,190,907,48303
remark,client,try-catch,3,43,13241
request,server,try-catch,8,74,9978
reveal.js,client,try-catch,28,25,18122
riot,client,try-catch,46,111,21876
sails,server,try-catch,457,221,27226
scrollreveal,client,try-catch,39,45,3515
sequelize,server,try-catch,20,262,82999
showdown,server,try-catch,8,79,8686
simditor,client,try-catch,56,21,11599
sinon,server,try-catch,11709,393,900711
smooth-scroll,client,try-catch,20,9,1893
socket.io,server,try-catch,5,31,4779
sockjs-client,client,try-catch,336,73,8153
spectron,server,try-catch,6,26,5653
steal,client,try-catch,1262,691,172138
store.js,server,try-catch,7,50,2530
summernote,client,try-catch,1,114,16356
superagent,server,try-catch,483,61,7331
svg.js,client,try-catch,35,117,21461
svgo,server,try-catch,12,66,6322
three.js,client,try-catch,516,1010,501621
tinymce,client,try-catch,2,24,1751
ui-router,client,try-catch,737,19,61810
underscore,client,try-catch,24,14,10802
validator.js,client,try-catch,6,156,7729
waterline,server,try-catch,283,123,13171
web3.js,client,try-catch,188,169,40401
webogram,client,try-catch,1749,861,420227
webpack,server,try-catch,216,3017,52208
webtorrent,server,try-catch,11,39,5753
wekan,server,try-catch,44,110,12702
winston,server,try-catch,20,65,3664
zeroclipboard,client,try-catch,47,20,8617
