,Class,stmts,alert,break,consoleLog,continue,count,empty,has_error_arguments,lines,noUsageOfErrorArg,reassigningError,rereturn,rethrow,returnErrorObject,returnLiteral,returnNull,returnUndefined,throwErrorObject,throwLiteral,throwNull,throwUndefined
65,Web,15,0.0,17.0,0.0,2.0,69,0.0,69.0,5409,1.0,29.0,0.0,2.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0
15,Standalone,15,0.0,42.0,2.0,0.0,95,0.0,94.0,6375,3.0,72.0,0.0,2.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0
66,Web,16,0.0,26.0,1.0,6.0,68,0.0,68.0,7100,2.0,37.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0
16,Standalone,16,0.0,55.0,3.0,7.0,90,0.0,90.0,6775,5.0,72.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17,Standalone,17,0.0,26.0,0.0,5.0,44,0.0,44.0,4243,0.0,32.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
67,Web,17,0.0,27.0,1.0,7.0,75,0.0,75.0,9550,0.0,46.0,0.0,2.0,0.0,11.0,3.0,0.0,4.0,0.0,0.0,0.0
68,Web,18,0.0,14.0,1.0,1.0,37,0.0,37.0,3463,0.0,23.0,0.0,3.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0
18,Standalone,18,0.0,37.0,0.0,0.0,68,0.0,68.0,6482,0.0,53.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Web,19,0.0,16.0,0.0,2.0,49,0.0,49.0,5838,2.0,33.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0
19,Standalone,19,0.0,22.0,1.0,5.0,47,0.0,47.0,6034,1.0,32.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0
70,Web,20,0.0,20.0,0.0,5.0,60,0.0,60.0,7531,1.0,46.0,0.0,3.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0
20,Standalone,20,0.0,13.0,1.0,0.0,28,0.0,28.0,3887,1.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Web,21,0.0,24.0,0.0,0.0,58,0.0,58.0,7319,0.0,47.0,0.0,4.0,0.0,8.0,1.0,1.0,7.0,0.0,0.0,0.0
21,Standalone,21,0.0,31.0,0.0,2.0,39,0.0,39.0,8975,2.0,33.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
22,Standalone,22,0.0,2.0,0.0,0.0,10,0.0,10.0,2727,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
72,Web,22,0.0,31.0,1.0,1.0,53,0.0,53.0,6690,0.0,46.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
73,Web,23,0.0,24.0,0.0,0.0,51,0.0,51.0,10297,1.0,41.0,0.0,2.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0
23,Standalone,23,0.0,14.0,0.0,2.0,18,0.0,18.0,2985,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Web,24,0.0,10.0,0.0,0.0,28,0.0,28.0,3127,2.0,25.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
24,Standalone,24,0.0,4.0,0.0,0.0,18,0.0,18.0,2529,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Web,25,0.0,13.0,0.0,0.0,34,0.0,34.0,3850,0.0,27.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,0.0,0.0,0.0
25,Standalone,25,0.0,14.0,1.0,0.0,16,0.0,16.0,3207,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26,Standalone,26,0.0,6.0,0.0,0.0,8,0.0,8.0,618,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
