mech,lines,stmts,has_error_arguments,empty,noUsageOfErrorArg,consoleLog,reassigningError,alert,throwLiteral,throwUndefined,throwNull,throwErrorObject,rethrow,returnLiteral,returnUndefined,returnNull,returnErrorObject,rereturn,continue,break,file,repo,count,type
callback,16,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/three.js/editor/js/libs/codemirror/addon/tern.js,three.js.csv,1,client
callback,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/hospitalrun-frontend/prod/assets/vendor-d8042eae6c7c66fd59f343eb1b260d51.js,hospitalrun-frontend.csv,1,client
callback,110,16,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/hospitalrun-frontend/prod/assets/vendor-d8042eae6c7c66fd59f343eb1b260d51.js,hospitalrun-frontend.csv,1,client
callback,15,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/ajenti/ajenti/plugins/main/content/js/_lib/00_jquery.m.js,ajenti.csv,1,client
callback,1,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/mousetrap/tests/libs/mocha-1.9.0.js,mousetrap.csv,1,client
callback,2,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/hospitalrun-frontend/prod/assets/vendor-d8042eae6c7c66fd59f343eb1b260d51.js,hospitalrun-frontend.csv,1,client
callback,6,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/hospitalrun-frontend/prod/assets/vendor-d8042eae6c7c66fd59f343eb1b260d51.js,hospitalrun-frontend.csv,1,client
callback,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/closure-library/closure/goog/json/json.js,closure-library.csv,1,client
callback,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/hospitalrun-frontend/prod/assets/hospitalrun-d598b2e53c5a773d81dea7aa5b68b2b9.js,hospitalrun-frontend.csv,1,client
callback,4,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/hospitalrun-frontend/prod/assets/vendor-d8042eae6c7c66fd59f343eb1b260d51.js,hospitalrun-frontend.csv,1,client
callback,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/hospitalrun-frontend/prod/assets/vendor-d8042eae6c7c66fd59f343eb1b260d51.js,hospitalrun-frontend.csv,1,client
callback,58,3,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/brackets/src/extensions/default/InlineTimingFunctionEditor/BezierCurveEditor.js,brackets.csv,1,client
callback,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/simditor/lib/simditor.js,simditor.csv,1,client
callback,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/hospitalrun-frontend/prod/assets/hospitalrun-d598b2e53c5a773d81dea7aa5b68b2b9.js,hospitalrun-frontend.csv,1,client
