,mech,count,type,repo,perc_per_repo
4,promise,8,client,sinon.csv,0.000300503343099692
5,promise,8,server,sinon.csv,0.000300503343099692
6,try-catch,11709,client,sinon.csv,0.4398242055442867
7,try-catch,11709,server,sinon.csv,0.4398242055442867
0,callback,3,client,progressbar.js.csv,0.75
1,try-catch,1,client,progressbar.js.csv,0.25
0,callback,82,client,raven-js.csv,0.22527472527472528
1,event,10,client,raven-js.csv,0.027472527472527472
2,promise,2,client,raven-js.csv,0.005494505494505495
3,try-catch,270,client,raven-js.csv,0.7417582417582418
0,callback,54,client,ratchet.csv,0.8852459016393442
1,try-catch,7,client,ratchet.csv,0.11475409836065574
0,async-await,1,client,Rocket.Chat.csv,0.0009606147934678194
1,callback,725,client,Rocket.Chat.csv,0.696445725264169
2,event,13,client,Rocket.Chat.csv,0.012487992315081652
3,promise,16,client,Rocket.Chat.csv,0.01536983669548511
4,try-catch,286,client,Rocket.Chat.csv,0.2747358309317964
0,callback,16,client,tinymce.csv,0.8888888888888888
1,try-catch,2,client,tinymce.csv,0.1111111111111111
0,callback,12,client,JavaScript-Koans.csv,0.1875
1,try-catch,52,client,JavaScript-Koans.csv,0.8125
0,callback,265,client,democracyos.csv,0.8204334365325078
1,promise,52,client,democracyos.csv,0.1609907120743034
2,try-catch,6,client,democracyos.csv,0.018575851393188854
0,callback,197,client,mapbox-gl-js.csv,0.7378277153558053
1,event,49,client,mapbox-gl-js.csv,0.18352059925093633
2,promise,1,client,mapbox-gl-js.csv,0.003745318352059925
3,try-catch,20,client,mapbox-gl-js.csv,0.0749063670411985
0,try-catch,6,client,lightbox.csv,1.0
0,callback,1,server,peerflix.csv,1.0
0,try-catch,6,server,homebridge.csv,1.0
0,callback,2863,server,mongoose.csv,0.9005976722239698
1,event,25,server,mongoose.csv,0.007864108210128971
2,promise,29,server,mongoose.csv,0.009122365523749607
3,try-catch,262,server,mongoose.csv,0.08241585404215163
0,callback,133,server,node-postgres.csv,0.8012048192771084
1,event,18,server,node-postgres.csv,0.10843373493975904
2,promise,9,server,node-postgres.csv,0.05421686746987952
3,try-catch,6,server,node-postgres.csv,0.03614457831325301
0,callback,16,server,johnny-five.csv,0.64
1,event,1,server,johnny-five.csv,0.04
2,try-catch,8,server,johnny-five.csv,0.32
0,async-await,7,server,node-mongodb-native.csv,0.0015131863380890619
1,callback,4088,server,node-mongodb-native.csv,0.8837008214440121
2,event,28,server,node-mongodb-native.csv,0.0060527453523562475
3,promise,81,server,node-mongodb-native.csv,0.017509727626459144
4,try-catch,422,server,node-mongodb-native.csv,0.09122351923908344
0,callback,1,server,showdown.csv,0.1111111111111111
1,try-catch,8,server,showdown.csv,0.8888888888888888
0,callback,38,server,MQTT.js.csv,0.4634146341463415
1,event,27,server,MQTT.js.csv,0.32926829268292684
2,try-catch,17,server,MQTT.js.csv,0.2073170731707317
0,callback,10,server,standard.csv,0.9090909090909091
1,event,1,server,standard.csv,0.09090909090909091
0,callback,28,server,apidoc.csv,0.45161290322580644
