repo,type,mech,count
webogram.csv,client,callback,1669
webogram.csv,client,event,8
webogram.csv,client,promise,26
webogram.csv,client,try-catch,1749
webpack.csv,server,callback,334
webpack.csv,server,event,4
webpack.csv,server,promise,6
webpack.csv,server,try-catch,216
webtorrent.csv,server,callback,251
webtorrent.csv,server,event,99
webtorrent.csv,server,try-catch,11
wekan.csv,server,callback,31
wekan.csv,server,event,1
wekan.csv,server,promise,2
wekan.csv,server,try-catch,44
winston.csv,server,callback,21
winston.csv,server,event,11
winston.csv,server,try-catch,20
zeroclipboard.csv,client,callback,9
zeroclipboard.csv,client,event,16
zeroclipboard.csv,client,try-catch,47
