,err,hypothesis_test,kurtosis_client,kurtosis_server,max_client,max_server,mean_client,mean_server,metric,min_client,min_server,nobs_client,nobs_server,p_value,skewness_client,skewness_server,statistic,variance_client,variance_server
66,skewtest is not valid with less than 8 samples; 1 samples were given.,,,,,,,,tryCatchNumberOfCatchesAlertOnly,,,,,,,,,,
67,,ttest_ind,,,,,,,tryCatchNumberOfErrorReassigning,,,,,0.8877053944663752,,,0.1416661907471529,,
68,,ttest_ind,,,,,,,tryCatchNumberOfCatchesThrows,,,,,0.14962973934789653,,,1.4569865360121061,,
69,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,tryCatchNumberOfCatchesThrowsLiteral,,,,,,,,,,
70,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,tryCatchNumberOfCatchesThrowsErrorObject,,,,,,,,,,
71,,ttest_ind,5.926950976634746,19.698563955688453,0.1256647167915446,0.11176113673291385,0.015199886700153736,0.006956387342913269,tryCatchNumberOfCatchesThatThrows,0.00016800095827746602,0.00018231833072253483,40.0,58.0,0.09005815339613331,2.547300166911444,4.454836390844312,1.7123633183020566,0.0008038011713376106,0.00037406843718570704
72,skewtest is not valid with less than 8 samples; 3 samples were given.,,,,,,,,tryCatchNumberOfCatchesThatThrowsLiteral,,,,,,,,,,
73,skewtest is not valid with less than 8 samples; 3 samples were given.,,,,,,,,tryCatchNumberOfCatchesThatThrowsLiteralOnly,,,,,,,,,,
74,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,tryCatchNumberOfCatchesThatThrowsUndefined,,,,,,,,,,
75,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,tryCatchNumberOfCatchesThatThrowsUndefinedOnly,,,,,,,,,,
76,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,tryCatchNumberOfCatchesThatThrowsNull,,,,,,,,,,
77,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,tryCatchNumberOfCatchesThatThrowsNullOnly,,,,,,,,,,
78,,ttest_ind,,,,,,,tryCatchNumberOfCatchesThatThrowsErrorObject,,,,,0.6069234245728228,,,0.518839058716139,,
79,,ttest_ind,,,,,,,tryCatchNumberOfCatchesRethrows,,,,,0.13414928076229038,,,1.5121995429339055,,
80,,ttest_ind,,,,,,,tryCatchNumberOfCatchesThatRethrows,,,,,0.12968749803666174,,,1.5299975296632995,,
81,,ttest_ind,,,,,,,tryCatchNumberOfCatchesReturns,,,,,0.5732456889699102,,,0.5649328490928488,,
82,,ttest_ind,,,,,,,tryCatchNumberOfCatchesReturnsLiteral,,,,,0.7282665048719339,,,0.3486918851676686,,
83,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,tryCatchNumberOfCatchesReturnsErrorObject,,,,,,,,,,
84,,ttest_ind,,,,,,,tryCatchNumberOfCatchesThatReturns,,,,,0.5241119886584602,,,0.6390440044315402,,
85,,ttest_ind,,,,,,,tryCatchNumberOfCatchesThatReturnsLiteral,,,,,0.7299555663662809,,,0.3464343221592463,,
86,skewtest is not valid with less than 8 samples; 6 samples were given.,,,,,,,,tryCatchNumberOfCatchesThatReturnsUndefined,,,,,,,,,,
87,,ttest_ind,,,,,,,tryCatchNumberOfCatchesThatReturnsNull,,,,,0.970097487834069,,,-0.03776349615060206,,
