metric,Server,Client
callbacksNumberOfHandlersThrowsLiteral,17,28
callbacksNumberOfHandlersThrowsErrorObject,236,1033
callbacksNumberOfHandlersThatThrows,1748,1895
callbacksNumberOfHandlersThatThrowsLiteral,13,18
callbacksNumberOfHandlersThatThrowsLiteralOnly,1,0
callbacksNumberOfHandlersThatThrowsUndefined,0,0
callbacksNumberOfHandlersThatThrowsUndefinedOnly,0,0
callbacksNumberOfHandlersThatThrowsNull,0,0
callbacksNumberOfHandlersThatThrowsNullOnly,0,0
callbacksNumberOfHandlersThatThrowsErrorObject,198,592
callbacksNumberOfHandlersRethrows,1462,613
callbacksNumberOfHandlersThatRethrows,1154,556
callbacksNumberOfHandlersReturns,22304,49523
callbacksNumberOfHandlersReturnsLiteral,645,2093
callbacksNumberOfHandlersReturnsErrorObject,49,58
callbacksNumberOfHandlersThatReturns,24310,37506
callbacksNumberOfHandlersThatReturnsLiteral,406,1058
callbacksNumberOfHandlersThatReturnsUndefined,6,24
callbacksNumberOfHandlersThatReturnsNull,51,181
callbacksNumberOfHandlersThatReturnsErrorObject,48,51
callbacksNumberOfHandlersThatRereturns,160,719
callbacksNumberOfHandlersContinues,145,582
callbacksNumberOfHandlersThatContinues,76,209
callbacksNumberOfHandlersBreaks,6176,8007
callbacksNumberOfHandlersThatBreaks,883,1504
callbacksNumberOfHandlersBreaksOnly,0,0
callbacksNumberOfLines,345661,598553
