"numberOfCallbackErrorFunctions","numberOfFirstErrorArgFunctions","numberOfEmptyCallbacks","numberOfConsoleStatementOnly","numberOfLogicalLines","numberOfPhysicalLines"
0,0,0,0,11,15
0,0,0,0,93,105
0,0,0,0,24,24
0,0,0,0,24,25
0,0,0,0,31,35
0,0,0,0,39,40
0,0,0,0,44,45
0,0,0,0,39,40
3,14,0,0,3332,3777
3,15,0,0,4973,5619
0,0,0,0,18,21
0,0,0,0,50,55
0,1,0,0,141,161
1,2,0,0,60,67
0,0,0,0,11,11
0,0,0,0,114,123
0,0,0,0,112,129
0,1,0,0,39,42
0,0,0,0,64,69
2,5,0,0,828,916
0,0,0,0,42,46
0,0,0,0,23,29
0,0,0,0,106,116
0,0,0,0,72,80
0,0,0,0,10,12
0,0,0,0,131,146
0,0,0,0,207,223
0,0,0,0,154,168
0,0,0,0,152,168
0,0,0,0,52,55
0,1,0,0,47,51
0,0,0,0,55,58
0,0,0,0,687,775
0,0,0,0,164,185
0,0,0,0,288,313
0,0,0,0,104,118
0,0,0,0,63,73
0,0,0,0,40,49
0,0,0,0,154,172
0,0,0,0,59,61
0,0,0,0,38,43
0,0,0,0,126,148
0,0,0,0,83,103
0,0,0,0,77,86
0,0,0,0,80,93
0,1,0,0,202,226
0,2,0,0,332,379
0,0,0,0,2,3
0,0,0,0,2,3
0,1,0,0,147,154
0,0,0,0,2,3
0,0,0,0,17,26
0,2,0,0,92,103
0,0,0,0,18,21
0,3,0,0,149,162
0,2,0,0,181,224
0,0,0,0,59,69
0,0,0,0,36,44
