mech,strategy,count
callback,"noUsageOfErrorArg,returnLiteral,returnNull,continue,break",1
callback,"noUsageOfErrorArg,returnNull",7
callback,"noUsageOfErrorArg,returnNull,break",1
callback,"noUsageOfErrorArg,returnNull,continue",1
callback,"noUsageOfErrorArg,throwErrorObject",43
callback,"noUsageOfErrorArg,throwErrorObject,break",2
callback,"noUsageOfErrorArg,throwErrorObject,returnLiteral,break",2
callback,"noUsageOfErrorArg,throwErrorObject,returnLiteral,returnUndefined,returnNull,break",1
callback,"noUsageOfErrorArg,throwLiteral",1
callback,others,46660
callback,reassigningError,3416
callback,"reassigningError,alert",2
callback,"reassigningError,break",1347
callback,"reassigningError,continue",22
callback,"reassigningError,continue,break",71
callback,"reassigningError,rethrow",21
callback,"reassigningError,returnLiteral",183
callback,"reassigningError,returnLiteral,break",174
callback,"reassigningError,returnLiteral,continue",1
callback,"reassigningError,returnLiteral,continue,break",15
callback,"reassigningError,returnLiteral,returnNull",1
callback,"reassigningError,returnLiteral,returnNull,break",2
callback,"reassigningError,returnLiteral,returnNull,continue,break",4
callback,"reassigningError,returnLiteral,returnUndefined",1
callback,"reassigningError,returnLiteral,returnUndefined,break",3
callback,"reassigningError,returnLiteral,returnUndefined,returnNull,break",1
callback,"reassigningError,returnNull",19
callback,"reassigningError,returnNull,break",1
callback,"reassigningError,returnNull,continue,break",1
callback,"reassigningError,returnUndefined",1
callback,"reassigningError,throwErrorObject",63
callback,"reassigningError,throwErrorObject,break",5
callback,"reassigningError,throwErrorObject,continue",2
callback,"reassigningError,throwErrorObject,continue,break",17
callback,"reassigningError,throwErrorObject,rethrow",12
callback,"reassigningError,throwErrorObject,rethrow,break",6
callback,"reassigningError,throwErrorObject,rethrow,returnErrorObject",1
callback,"reassigningError,throwErrorObject,rethrow,returnLiteral",1
callback,"reassigningError,throwErrorObject,rethrow,returnLiteral,break",3
callback,"reassigningError,throwErrorObject,rethrow,returnNull",3
callback,"reassigningError,throwErrorObject,rethrow,returnNull,break",8
callback,"reassigningError,throwErrorObject,rethrow,returnNull,continue,break",1
callback,"reassigningError,throwErrorObject,returnErrorObject",1
callback,"reassigningError,throwErrorObject,returnLiteral",4
callback,"reassigningError,throwErrorObject,returnLiteral,break",3
callback,"reassigningError,throwErrorObject,returnLiteral,continue,break",2
callback,"reassigningError,throwErrorObject,returnLiteral,returnNull,break",4
callback,"reassigningError,throwErrorObject,returnLiteral,returnNull,continue,break",2
callback,"reassigningError,throwErrorObject,returnLiteral,returnUndefined",1
callback,"reassigningError,throwErrorObject,returnLiteral,returnUndefined,returnNull,continue,break",1
callback,"reassigningError,throwErrorObject,returnNull,break",6
callback,"reassigningError,throwLiteral",1
callback,"reassigningError,throwLiteral,break",1
callback,"reassigningError,throwLiteral,continue,break",2
callback,"reassigningError,throwLiteral,returnLiteral,break",1
callback,"reassigningError,throwLiteral,throwErrorObject,rethrow,returnLiteral,returnNull,continue,break",1
callback,"reassigningError,throwLiteral,throwErrorObject,returnNull,continue,break",1
callback,rethrow,1048
callback,"rethrow,break",3
callback,"rethrow,returnLiteral",16
callback,returnErrorObject,61
callback,returnLiteral,703
callback,"returnLiteral,break",40
callback,"returnLiteral,continue",5
callback,"returnLiteral,continue,break",3
callback,"returnLiteral,returnErrorObject",2
callback,"returnLiteral,returnNull",14
callback,"returnLiteral,returnNull,break",6
callback,"returnLiteral,returnNull,continue,break",2
callback,"returnLiteral,returnUndefined",2
callback,"returnLiteral,returnUndefined,continue",2
callback,returnNull,114
callback,"returnNull,break",15
callback,"returnNull,continue",1
callback,returnUndefined,15
callback,throwErrorObject,348
callback,"throwErrorObject,break",34
callback,"throwErrorObject,continue",3
callback,"throwErrorObject,continue,break",2
callback,"throwErrorObject,rethrow",144
callback,"throwErrorObject,rethrow,break",2
callback,"throwErrorObject,rethrow,continue",2
callback,"throwErrorObject,rethrow,returnLiteral,continue,break",6
callback,"throwErrorObject,returnLiteral",17
callback,"throwErrorObject,returnLiteral,break",1
callback,"throwErrorObject,returnLiteral,returnNull",2
callback,"throwErrorObject,returnLiteral,returnUndefined",1
callback,"throwErrorObject,returnLiteral,returnUndefined,returnNull,continue,break",1
callback,"throwErrorObject,returnNull",2
callback,"throwErrorObject,returnNull,break",1
callback,"throwErrorObject,returnUndefined",1
callback,throwLiteral,9
callback,"throwLiteral,returnNull,break",1
callback,"throwLiteral,throwErrorObject",1
event,break,4
event,consoleLog,53
event,"consoleLog,alert",1
event,"consoleLog,rethrow",10
event,"consoleLog,throwErrorObject",1
event,noUsageOfErrorArg,249
event,"noUsageOfErrorArg,alert",1
event,"noUsageOfErrorArg,consoleLog",5
event,"noUsageOfErrorArg,throwErrorObject",4
event,others,831
event,rethrow,64
event,returnLiteral,1
event,"throwErrorObject,rethrow",6
promise,alert,5
promise,consoleLog,63
promise,"consoleLog,rethrow",2
promise,"consoleLog,throwErrorObject",1
promise,noUsageOfErrorArg,378
promise,"noUsageOfErrorArg,consoleLog",7
promise,"noUsageOfErrorArg,reassigningError",2
promise,"noUsageOfErrorArg,returnLiteral",15
promise,"noUsageOfErrorArg,returnNull",5
promise,"noUsageOfErrorArg,throwErrorObject",2
promise,"noUsageOfErrorArg,throwLiteral",3
promise,others,1298
promise,reassigningError,19
promise,"reassigningError,rethrow",1
promise,rethrow,148
promise,"rethrow,returnLiteral",3
promise,"rethrow,returnNull",2
promise,returnErrorObject,1
promise,returnLiteral,7
promise,returnNull,3
promise,throwErrorObject,4
promise,"throwErrorObject,rethrow",2
try-catch,alert,7
try-catch,break,3
try-catch,consoleLog,285
try-catch,"consoleLog,break",1
try-catch,"consoleLog,reassigningError",22
try-catch,"consoleLog,rethrow",12
try-catch,"consoleLog,returnLiteral",4
try-catch,"consoleLog,returnNull",2
try-catch,"consoleLog,throwErrorObject,rethrow",5
try-catch,continue,22
try-catch,empty,8421
try-catch,noUsageOfErrorArg,5809
try-catch,"noUsageOfErrorArg,alert",3
try-catch,"noUsageOfErrorArg,break",55
try-catch,"noUsageOfErrorArg,consoleLog",56
try-catch,"noUsageOfErrorArg,consoleLog,returnLiteral",1
try-catch,"noUsageOfErrorArg,consoleLog,throwLiteral",4
try-catch,"noUsageOfErrorArg,continue",23
try-catch,"noUsageOfErrorArg,reassigningError",138
try-catch,"noUsageOfErrorArg,reassigningError,break",13
try-catch,"noUsageOfErrorArg,returnErrorObject",2
try-catch,"noUsageOfErrorArg,returnLiteral",2772
try-catch,"noUsageOfErrorArg,returnNull",515
try-catch,"noUsageOfErrorArg,returnUndefined",31
try-catch,"noUsageOfErrorArg,throwErrorObject",104
try-catch,"noUsageOfErrorArg,throwLiteral",18
try-catch,others,11881
try-catch,reassigningError,3627
try-catch,"reassigningError,break",24
try-catch,"reassigningError,continue",2
try-catch,"reassigningError,continue,break",4
try-catch,"reassigningError,rethrow",115
try-catch,"reassigningError,rethrow,returnLiteral",1
try-catch,"reassigningError,returnLiteral",22
try-catch,rethrow,2976
try-catch,"rethrow,break",40
try-catch,"rethrow,continue",5
try-catch,"rethrow,continue,break",1
try-catch,"rethrow,returnLiteral",43
try-catch,"rethrow,returnNull",26
try-catch,"rethrow,returnUndefined",1
try-catch,returnErrorObject,2
try-catch,returnLiteral,169
try-catch,returnNull,67
try-catch,returnUndefined,17
try-catch,throwErrorObject,8
try-catch,"throwErrorObject,rethrow",162
try-catch,throwLiteral,7
