"numberOfCallbackErrorFunctions","numberOfFirstErrorArgFunctions","numberOfEmptyCallbacks","numberOfConsoleStatementOnly","numberOfLogicalLines","numberOfPhysicalLines"
0,7,0,1,1634,2438
4,0,0,0,1816,2268
0,0,0,0,379,487
0,0,0,0,185,230
0,1,0,0,345,442
0,0,0,0,144,308
0,0,0,0,74,110
0,0,0,0,455,565
0,0,0,0,47,72
0,1,0,0,304,392
0,0,0,0,360,445
2,0,0,0,1054,1289
0,0,0,0,535,692
0,0,0,0,196,243
0,0,0,0,362,441
0,0,0,0,3,44
0,0,0,0,0,14
0,0,0,0,57,77
0,0,0,0,2,17
0,0,0,0,5,24
0,0,0,0,293,311
0,0,0,0,1254,1526
0,0,0,0,299,430
0,0,0,0,4,21
0,0,0,0,21,39
0,0,0,0,1353,1717
0,0,0,0,11,32
0,0,0,0,64,90
0,5,0,0,154,187
1,7,0,0,529,674
0,3,0,0,604,656
0,1,0,0,21,37
0,0,0,0,14,15
0,0,0,0,25,26
0,0,0,0,40,42
0,0,0,0,55,58
0,1,0,0,66,90
0,0,0,0,97,167
0,4,0,0,61,83
0,0,0,0,1,2
0,4,0,0,390,485
0,0,0,0,164,201
0,1,0,0,671,750
0,0,0,0,108,138
0,0,0,0,1086,1378
0,5,0,0,1194,1348
0,0,0,0,17,37
0,0,0,0,315,392
0,0,0,0,298,325
0,0,0,0,492,558
0,0,0,0,637,688
0,0,0,0,84,110
0,0,0,0,113,157
0,0,0,0,22,42
0,0,0,0,92,131
0,0,0,0,277,315
0,0,0,0,64,91
0,0,0,0,523,549
0,0,0,0,131,205
0,0,0,0,29,52
0,0,0,0,47,65
0,0,0,0,135,179
0,1,0,0,189,234
0,0,0,0,236,297
0,0,0,0,45,71
0,0,0,0,287,362
0,0,0,0,46,64
0,1,0,0,90,118
1,1,0,0,62,77
0,0,0,0,92,118
0,0,0,0,318,400
0,0,0,0,99,147
0,0,0,0,41,66
0,0,0,0,334,378
0,0,0,0,219,265
0,5,0,0,255,312
0,0,0,0,70,126
0,3,0,0,1913,2341
0,0,0,0,695,948
0,2,0,0,236,372
0,0,0,0,2,17
0,2,0,0,562,620
0,0,0,0,124,144
0,0,0,0,59,99
0,1,0,0,72,109
0,2,0,0,234,308
0,0,0,0,38,59
0,0,0,0,30,51
0,0,0,0,135,227
0,0,0,0,41,183
0,0,0,0,91,150
0,1,0,0,60,105
0,0,0,0,113,188
0,0,0,0,97,163
0,0,0,0,161,266
0,1,0,0,158,226
0,0,0,0,359,488
0,0,0,0,383,612
0,0,0,0,326,480
0,0,0,0,125,216
0,2,0,1,505,651
0,0,0,0,329,495
0,0,0,0,261,345
0,0,0,0,101,178
0,0,0,0,292,462
0,0,0,0,103,149
0,2,0,0,320,436
0,0,0,0,160,239
0,0,0,0,34,54
0,0,0,0,54,83
0,0,0,0,8,25
0,0,0,0,110,179
0,0,0,0,138,224
0,0,0,0,301,424
0,0,0,0,178,263
0,0,0,0,469,692
0,0,0,0,84,119
0,0,0,0,166,196
