"numberOfCallbackErrorFunctions","numberOfFirstErrorArgFunctions","numberOfEmptyCallbacks","numberOfConsoleStatementOnly","numberOfLogicalLines","numberOfPhysicalLines"
0,0,0,0,75,152
0,0,0,0,108,179
0,0,0,0,28,75
0,0,0,0,136,222
0,1,0,0,468,808
0,3,0,0,28,57
0,0,0,0,889,1473
0,0,0,0,170,318
0,0,0,0,425,640
0,0,0,0,432,743
0,0,0,0,73,157
1,0,0,0,513,787
1,6,0,3,889,1320
0,0,0,0,346,529
0,0,0,0,149,367
0,0,0,0,687,1054
0,1,0,0,947,1510
0,0,0,0,294,546
1,2,0,0,1451,2213
0,0,0,0,170,266
0,0,0,0,25,43
1,0,0,0,785,1261
0,2,0,0,150,202
0,0,0,0,179,274
0,0,0,0,119,190
0,1,0,1,178,264
0,0,0,0,132,215
0,1,0,0,55,104
0,0,0,0,119,187
0,0,0,0,86,173
0,0,0,0,151,244
0,0,0,0,271,423
0,0,0,0,1496,2198
0,1,0,1,625,868
0,0,0,0,189,291
0,0,0,0,847,1037
0,0,0,0,339,487
0,2,0,1,232,442
1,2,0,0,134,261
0,0,0,0,85,120
0,0,0,0,229,298
0,0,0,0,67,146
0,0,0,0,823,964
0,0,0,0,70,129
4,8,0,2,1028,1735
0,0,0,0,355,586
0,1,0,0,138,265
0,1,0,1,226,437
1,16,0,2,1137,1991
0,0,0,0,158,317
0,2,0,0,116,215
1,6,0,1,606,1103
0,5,0,0,280,553
0,0,0,0,212,357
0,0,0,0,70,127
0,3,0,0,296,517
0,3,0,1,630,1058
0,0,0,0,624,1159
0,0,0,0,75,158
0,0,0,0,339,577
0,1,0,0,618,1024
2,0,0,0,548,825
0,1,0,0,100,188
0,1,0,0,46,74
0,8,0,1,637,1122
0,3,0,0,223,424
0,1,0,0,522,862
0,1,0,0,239,443
0,3,0,1,125,259
0,0,0,0,114,216
0,1,0,0,238,390
1,0,0,0,330,561
0,0,0,0,100,175
0,0,0,0,92,170
0,1,0,0,122,205
0,0,0,0,260,413
0,0,0,0,167,238
0,1,0,0,757,1165
0,5,1,0,1758,2491
0,1,0,0,109,191
0,0,0,0,81,138
0,0,0,0,54,113
0,0,0,0,80,138
0,0,0,0,37,86
0,1,0,0,690,1009
0,0,0,0,38,61
0,0,0,0,277,421
2,0,0,0,601,879
0,0,0,0,51,100
0,0,0,0,290,421
0,0,0,0,109,196
0,0,0,0,150,231
0,0,0,0,123,210
0,0,0,0,570,938
0,0,0,0,71,118
0,2,0,0,693,932
0,0,0,0,921,1452
0,0,0,0,78,132
0,0,0,0,220,340
0,0,0,0,128,184
0,0,0,0,118,266
0,0,0,0,270,436
0,0,0,0,88,167
0,0,0,0,105,202
0,1,0,0,910,1425
0,0,0,0,179,308
0,0,0,0,521,804
0,0,0,0,51,120
0,0,0,0,453,738
0,0,0,0,62,108
0,0,0,0,195,299
0,2,0,2,351,548
0,0,0,0,114,169
0,0,0,0,321,409
0,2,0,0,87,141
0,0,0,0,375,572
0,0,0,0,137,208
0,0,0,0,142,231
0,0,0,0,764,1179
0,0,0,0,43,94
0,0,0,0,418,595
0,0,0,0,88,153
0,0,0,0,512,809
0,0,0,0,297,495
0,0,0,0,231,371
0,6,0,0,114,139
0,0,0,0,144,221
0,0,0,0,86,140
0,0,0,0,1174,1851
0,0,0,0,231,404
0,0,0,0,114,160
0,0,0,0,975,1486
0,0,0,0,25,43
0,0,0,0,153,217
0,0,0,0,327,582
1,0,0,0,1041,1498
0,1,0,0,907,1301
0,0,0,0,594,930
0,0,0,0,216,336
0,0,0,0,91,123
0,0,0,0,353,508
0,0,0,0,334,412
0,0,0,0,567,765
0,0,0,0,1,5
0,0,0,0,10,20
0,0,0,0,674,947
0,0,0,0,47,89
0,0,0,0,51,137
0,0,0,0,65,119
0,0,0,0,203,374
0,0,0,0,50,111
0,0,0,0,1244,1781
0,0,0,0,118,215
0,0,0,0,46,68
0,0,0,0,19,57
0,1,0,0,462,766
0,2,0,1,869,1318
0,0,0,0,20,35
0,0,0,0,63,117
0,2,0,0,185,289
0,0,0,0,183,304
0,0,0,0,291,483
0,0,0,0,132,270
0,0,0,0,73,129
0,0,0,0,266,411
0,0,0,0,60,126
0,0,0,0,95,162
0,0,0,0,29,43
0,0,0,0,459,704
0,0,0,0,167,244
0,0,0,0,182,294
0,0,0,0,131,221
0,0,0,0,83,153
0,0,0,0,123,218
0,0,0,0,117,191
0,0,0,0,258,352
0,0,0,0,97,172
0,0,0,0,597,923
0,0,0,0,28,73
0,4,0,0,525,869
0,0,0,0,263,444
0,0,0,0,794,1268
0,0,0,0,81,373
0,0,0,0,597,927
0,0,0,0,227,353
0,3,0,0,795,1260
0,0,0,0,444,683
0,0,0,0,403,611
0,0,0,0,220,354
0,0,0,0,24,45
0,1,0,0,706,1032
0,0,0,0,65,147
0,0,0,0,277,444
0,0,0,0,331,601
0,11,0,0,333,597
0,0,0,0,113,200
0,0,0,0,113,183
0,0,0,0,408,711
0,0,0,0,414,862
0,0,0,0,201,261
0,0,0,0,30,36
0,0,0,0,81,100
0,0,0,0,14,20
0,0,0,0,19,26
0,0,0,0,19,24
0,0,0,0,51,63
0,0,0,0,34,56
0,4,0,3,137,202
0,2,0,1,76,92
0,1,0,1,58,82
0,1,0,1,32,39
1,18,0,7,424,512
0,3,0,0,136,194
2,0,0,0,113,172
1,1,0,0,162,200
0,2,0,1,66,90
0,1,0,1,29,36
0,1,0,0,121,156
0,0,0,0,107,138
2,0,0,0,322,422
0,0,0,0,21,27
0,7,1,2,172,219
0,0,0,0,54,81
0,2,0,2,184,238
0,2,0,0,136,181
0,1,0,1,77,103
1,6,0,4,220,279
0,7,0,5,192,291
0,3,0,3,283,372
0,0,0,0,27,35
0,0,0,0,475,549
0,0,0,0,191,249
0,1,0,0,146,183
0,1,0,0,111,157
0,0,0,0,189,252
0,1,0,0,51,60
0,4,0,0,114,132
0,5,0,1,140,164
0,3,0,3,223,264
0,3,0,2,100,115
0,0,0,0,67,83
0,4,0,1,109,130
0,5,0,4,154,183
0,3,0,1,242,279
0,0,0,0,22,27
0,3,0,2,64,77
0,8,0,7,350,409
1,12,0,13,321,373
0,2,0,0,121,137
0,0,0,0,177,212
0,0,0,0,193,232
0,0,0,0,17,22
0,0,0,0,144,153
0,0,0,0,10,14
0,0,0,0,3,4
0,0,0,0,5,5
0,0,0,0,25,32
0,3,0,2,162,196
0,0,0,0,15,21
0,0,0,0,45,51
0,0,0,0,84,94
0,0,0,0,192,227
