Repository,Client,Server,All,Mean_file_Client,Mean_file_Server,Mean_repo_Client,Mean_repo_Server
eventsNumberOfEventOnWithUniqueConsole,0,0,0,0,0,0,0
eventsNumberOfEventOnWithUniqueStatement,0,0,0,0,0,0,0
eventsNumberOfEventOnceLines,34,249,283,0.001047894964,0.007218437455,0.3953488372,2.349056604
eventsNumberOfEventOnceEmptyFunctions,0,4,4,0,0.0001159588346,0,0.03773584906
eventsNumberOfEventOnceWithUniqueConsole,0,0,0,0,0,0,0
eventsNumberOfEventOnceWithUniqueStatement,0,0,0,0,0,0,0
eventsNumberOfEventEmitLines,3,20,23,0.00009246132035,0.0005797941731,0.03488372093,0.1886792453
eventsNumberOfThrowErrorsOnCatches,27,24,51,0.0008321518831,0.0006957530077,0.3139534884,0.2264150943
eventsNumberOfThrowPrimitiveTypesOnCatches,0,0,0,0,0,0,0
eventsNumberOfReturnsOnCatches,4,51,55,0.0001232817605,0.001478475141,0.04651162791,0.4811320755
eventsNumberOfReturnsAnErrorOnCatches,1,35,36,0.00003082044012,0.001014639803,0.01162790698,0.3301886792
eventsNumberOfBreaksOnCatches,0,0,0,0,0,0,0
eventsNumberOfRethrowsOnCatches,27,23,50,0.0008321518831,0.000666763299,0.3139534884,0.2169811321
eventsNumberOfEventUncaughtException,13,63,76,0.0004006657215,0.001826351645,0.1511627907,0.5943396226
eventsNumberOfEventUnhandledRejection,3,2,5,0.00009246132035,0.00005797941731,0.03488372093,0.01886792453
eventsTotalOfStringEvents,6037,9762,15799,0.186062997,0.2829975359,70.19767442,92.09433962
eventsTotalOfEventsExceptStringType,1332,417,1749,0.04105282623,0.01208870851,15.48837209,3.933962264
callbacksNumberOfCallbackErrorFunctions,17915,24457,42372,0.5521481847,0.7090013045,208.3139535,230.7264151
callbacksNumberOfFirstErrorArgFunctions,12700,21214,33914,0.3914195895,0.6149876794,147.6744186,200.1320755
callbacksNumberOfEmptyCallbacks,1894,2096,3990,0.05837391358,0.06076242934,22.02325581,19.77358491
callbacksNumberOfFunctionsWithUniqueConsole,155,183,338,0.004777168218,0.005305116684,1.802325581,1.726415094
callbacksNumberOfFunctionsWithUniqueStatement,4716,7084,11800,0.1453491956,0.2053630961,54.8372093,66.83018868
callbacksNumberOfFunctionsWithUniqueErrorArg,8582,9128,17710,0.2645010171,0.2646180606,99.79069767,86.11320755
callbacksNumberOfEmptyFunctionsWithUniqueErrorArg,631,394,1025,0.01944769771,0.01142194521,7.337209302,3.716981132
callbacksNumberOfFunctionsWithUniqueErrorArgWithUniqueConsole,124,116,240,0.003821734574,0.003362806204,1.441860465,1.094339623
callbacksNumberOfFunctionsWithUniqueErrorArgWithUniqueStatement,2605,1987,4592,0.0802872465,0.05760255109,30.29069767,18.74528302
callbacksNumberOfLinesOfFunctionsWithUniqueErrorArg,89636,70582,160218,2.76262097,2.046151616,1042.27907,665.8679245
callbacksNumberOfReturnsOnCatches,27283,18370,45653,0.8408740677,0.532540948,317.244186,173.3018868
callbacksNumberOfReturnsAnErrorOnCatches,8869,8375,17244,0.2733464834,0.24278881,103.127907,79.00943396
callbacksNumberOfBreaksOnCatches,7342,6108,13450,0.2262836713,0.1770691405,85.37209302,57.62264151
callbacksNumberOfLines,488426,288781,777207,15.05350428,8.371677055,5679.372093,2724.349057
