"repository","class","contributors"
"node-serialport/node-serialport", "server", 
"NodeBB/NodeBB", "server", 
"nodemailer/nodemailer", "server", 
"remy/nodemon", "server",
"nuxt/nuxt.js", "server", 
"openlayers/openlayers", "server",
"mholt/PapaParse", "server", 
"parse-community/parse-server", "server",
"jaredhanson/passport", "server", 
"mafintosh/peerflix", "server",
"Unitech/pm2", "server", 
"postcss/postcss", "server",
"pouchdb/pouchdb", "server", 
"dcodeIO/protobuf.js", "server",
"pugjs/pug", "server", 
"facebook/react-native", "server",
"reactGo/reactGo", "server", 
"request/request", "server",
"ReactiveX/RxJS", "server",
"balderdashy/sails", "server", 
"sequelize/sequelize", "server",
"expressjs/session", "server",
"showdownjs/showdown", "server", 
"sinonjs/sinon", "server",
"socketio/socket.io", "server",
"sockjs/sockjs-node", "server", 
"electron/spectron", "server",
"standard/standard", "server",
"marcuswestin/store.js", "server", 
"visionmedia/superagent", "server",
"svg/svgo", "server",
"balderdashy/waterline", "server", 
"mishoo/UglifyJS2", "server",
"webpack/webpack", "server",
"webtorrent/webtorrent", "server", 
"wekan/wekan", "server",
"yarnpkg/yarn", "server",
